id,make,model,trim,type,price,mileage,src,year,image-type
1134,MERCEDES-BENZ,C-CLASS,C 300,sedan,24100,41023,cdnblob.carvana.io/2000285016/post-large/normalized/cropped/2000285016-edc-02.jpg?v=2019.4.11_17.23.40,2016,original
1135,CHEVROLET,CRUZE,LT,sedan,14700,22266,cdnblob.carvana.io/2000280299/post-large/normalized/cropped/2000280299-edc-02.jpg?v=2019.4.11_19.6.51,2017,original
1136,CADILLAC,XTS,Luxury,sedan,33500,7829,cdnblob.carvana.io/2000283845/post-large/normalized/cropped/2000283845-edc-02.jpg?v=2019.4.10_0.53.15,2018,original
1137,BUICK,LACROSSE,Premium II,sedan,20500,21192,cdnblob.carvana.io/2000281364/post-large/normalized/cropped/2000281364-edc-02.jpg?v=2019.4.10_0.51.32,2014,original
1138,LEXUS,IS,IS 250,sedan,21500,40720,cdnblob.carvana.io/2000283844/post-large/normalized/cropped/2000283844-edc-02.jpg?v=2019.4.6_5.16.17,2015,original
1139,HYUNDAI,SONATA HYBRID,SE,sedan,19800,10082,cdnblob.carvana.io/2000285912/post-large/normalized/cropped/2000285912-edc-02.jpg?v=2019.4.9_16.47.29,2018,original
1140,HONDA,ACCORD,EX-L,sedan,19100,46599,cdnblob.carvana.io/2000285951/post-large/normalized/cropped/2000285951-edc-02.jpg?v=2019.4.12_4.4.32,2016,original
1141,HYUNDAI,SONATA HYBRID,SE,sedan,18900,18289,cdnblob.carvana.io/2000285831/post-large/normalized/cropped/2000285831-edc-02.jpg?v=2019.4.9_14.2.6,2018,original
1142,HYUNDAI,SONATA,SEL,sedan,18700,16066,cdnblob.carvana.io/2000286064/post-large/normalized/cropped/2000286064-edc-02.jpg?v=2019.4.5_19.51.58,2018,original
1143,HONDA,CIVIC,LX,sedan,20200,16,cdnblob.carvana.io/2000285820/post-large/normalized/cropped/2000285820-edc-02.jpg?v=2019.4.5_1.14.26,2018,original
1144,MERCEDES-BENZ,CLA,CLA 250 4MATIC,sedan,25600,12165,cdnblob.carvana.io/2000281870/post-large/normalized/cropped/2000281870-edc-02.jpg?v=2019.4.9_19.2.16,2016,original
1145,TOYOTA,COROLLA,LE,sedan,14600,19261,cdnblob.carvana.io/2000285523/post-large/normalized/cropped/2000285523-edc-02.jpg?v=2019.4.9_19.3.32,2016,original
1146,MERCEDES-BENZ,CLA,CLA 250,sedan,22800,35462,cdnblob.carvana.io/2000281659/post-large/normalized/cropped/2000281659-edc-02.jpg?v=2019.4.11_3.27.34,2016,original
1147,MERCEDES-BENZ,C-CLASS,C 300,sedan,23700,31524,cdnblob.carvana.io/2000283754/post-large/normalized/cropped/2000283754-edc-02.jpg?v=2019.4.5_18.37.58,2016,original
1148,MERCEDES-BENZ,C-CLASS,C 300,sedan,24300,25635,cdnblob.carvana.io/2000285767/post-large/normalized/cropped/2000285767-edc-02.jpg?v=2019.4.5_4.53.40,2016,original
1149,LEXUS,GS,GS 350,sedan,33600,48122,cdnblob.carvana.io/2000283122/post-large/normalized/cropped/2000283122-edc-02.jpg?v=2019.4.11_20.3.18,2017,original
1150,LEXUS,ES,ES 350,sedan,20300,42376,cdnblob.carvana.io/2000284527/post-large/normalized/cropped/2000284527-edc-02.jpg?v=2019.4.8_18.40.33,2013,original
1151,MERCEDES-BENZ,CLA,CLA 250,sedan,24700,15951,cdnblob.carvana.io/2000285047/post-large/normalized/cropped/2000285047-edc-02.jpg?v=2019.4.12_1.28.11,2016,original
1152,HYUNDAI,SONATA HYBRID,SE,sedan,18700,20159,cdnblob.carvana.io/2000286053/post-large/normalized/cropped/2000286053-edc-02.jpg?v=2019.4.9_4.40.3,2018,original
1153,HONDA,CIVIC,LX,sedan,13900,41942,cdnblob.carvana.io/2000282864/post-large/normalized/cropped/2000282864-edc-02.jpg?v=2019.4.6_5.49.33,2015,original
1154,CADILLAC,XTS,Luxury Collection,sedan,22700,11949,cdnblob.carvana.io/2000277695/post-large/normalized/cropped/2000277695-edc-02.jpg?v=2019.4.9_19.26.48,2014,original
1155,KIA,FORTE,S,sedan,15700,13802,cdnblob.carvana.io/2000284820/post-large/normalized/cropped/2000284820-edc-02.jpg?v=2019.4.10_14.20.28,2018,original
1156,HONDA,ACCORD,EX-L,sedan,20500,29329,cdnblob.carvana.io/2000285053/post-large/normalized/cropped/2000285053-edc-02.jpg?v=2019.4.4_19.19.1,2016,original
1157,VOLKSWAGEN,PASSAT,2.0T SE,sedan,19600,14791,cdnblob.carvana.io/2000283011/post-large/normalized/cropped/2000283011-edc-02.jpg?v=2019.4.8_15.27.43,2018,original
1158,DODGE,CHARGER,SXT Plus,sedan,24100,10933,cdnblob.carvana.io/2000285091/post-large/normalized/cropped/2000285091-edc-02.jpg?v=2019.4.9_0.39.41,2018,original
1159,TOYOTA,CAMRY,XSE,sedan,18000,22961,cdnblob.carvana.io/2000279047/post-large/normalized/cropped/2000279047-edc-02.jpg?v=2019.4.4_22.59.48,2016,original
1160,HONDA,ACCORD,EX,sedan,18400,35779,cdnblob.carvana.io/2000284629/post-large/normalized/cropped/2000284629-edc-02.jpg?v=2019.4.11_22.42.17,2016,original
1161,CHEVROLET,MALIBU,LS,sedan,17000,21835,cdnblob.carvana.io/2000271992/post-large/normalized/cropped/2000271992-edc-02.jpg?v=2019.4.9_6.37.43,2018,original
