id,make,model,trim,type,price,mileage,src,year,image-type
2131,CHEVROLET,SONIC,LT,sedan,15400,6582,cdnblob.carvana.io/2000266329/post-large/normalized/cropped/2000266329-edc-02.jpg?v=2019.3.21_5.58.3,2018,original
2132,CHRYSLER,300,300S,sedan,20700,27379,cdnblob.carvana.io/2000261346/post-large/normalized/cropped/2000261346-edc-02.jpg?v=2019.4.3_23.5.11,2015,original
2133,KIA,OPTIMA,LX,sedan,14000,33103,cdnblob.carvana.io/2000261248/post-large/normalized/cropped/2000261248-edc-02.jpg?v=2019.3.15_21.34.5,2016,original
2134,BMW,4 SERIES,428i Gran,sedan,22600,34921,cdnblob.carvana.io/2000272925/post-large/normalized/cropped/2000272925-edc-02.jpg?v=2019.3.20_15.30.58,2015,original
2135,TOYOTA,COROLLA,L,sedan,14500,19321,cdnblob.carvana.io/2000261391/post-large/normalized/cropped/2000261391-edc-02.jpg?v=2019.3.14_23.46.4,2016,original
2136,KIA,FORTE,EX,sedan,13000,32180,cdnblob.carvana.io/2000269361/post-large/2000269361-edc-02-search.jpg?v=2019.3.21_3.20.49,2016,original
2137,KIA,OPTIMA,EX,sedan,17200,20106,cdnblob.carvana.io/2000269052/post-large/normalized/cropped/2000269052-edc-02.jpg?v=2019.3.18_18.38.33,2016,original
2138,CADILLAC,CT6,2.0 Turbo Luxury,sedan,41000,7295,cdnblob.carvana.io/2000271316/post-large/normalized/cropped/2000271316-edc-02.jpg?v=2019.3.21_18.55.4,2017,original
2139,TOYOTA,CAMRY,LE,sedan,15900,24049,cdnblob.carvana.io/2000271898/post-large/normalized/cropped/2000271898-edc-02.jpg?v=2019.3.25_11.27.18,2016,original
2140,HYUNDAI,ACCENT,SE,sedan,11700,38171,cdnblob.carvana.io/2000268647/post-large/normalized/cropped/2000268647-edc-02.jpg?v=2019.4.5_12.38.1,2017,original
2141,HONDA,CIVIC,EX,sedan,16700,41959,cdnblob.carvana.io/2000267657/post-large/normalized/cropped/2000267657-edc-02.jpg?v=2019.3.16_1.21.21,2016,original
2142,HYUNDAI,ACCENT,SE,sedan,11400,40134,cdnblob.carvana.io/2000264444/post-large/normalized/cropped/2000264444-edc-02.jpg?v=2019.4.4_19.13.58,2017,original
2143,HYUNDAI,GENESIS,3.8,sedan,23200,40241,cdnblob.carvana.io/2000269392/post-large/normalized/cropped/2000269392-edc-02.jpg?v=2019.3.28_0.36.23,2016,original
2144,CHRYSLER,300,300S,sedan,22100,19733,cdnblob.carvana.io/2000271296/post-large/normalized/cropped/2000271296-edc-02.jpg?v=2019.3.16_11.5.28,2017,original
2145,HONDA,CIVIC,LX,sedan,14100,35998,cdnblob.carvana.io/2000268764/post-large/normalized/cropped/2000268764-edc-02.jpg?v=2019.3.22_19.7.22,2015,original
2146,LINCOLN,MKZ,MKZ,sedan,20400,23263,cdnblob.carvana.io/2000271877/post-large/normalized/cropped/2000271877-edc-02.jpg?v=2019.3.25_19.4.31,2016,original
2147,HYUNDAI,ACCENT,SE,sedan,14100,13771,cdnblob.carvana.io/2000270585/post-large/normalized/cropped/2000270585-edc-02.jpg?v=2019.3.19_3.41.37,2018,original
2148,BMW,3 SERIES,320i XDrive,sedan,35000,1850,cdnblob.carvana.io/2000270247/post-large/normalized/cropped/2000270247-edc-02.jpg?v=2019.3.14_19.2.42,2018,original
2149,MERCEDES-BENZ,C-CLASS,C 300 4MATIC,sedan,24300,31534,cdnblob.carvana.io/2000267127/post-large/normalized/cropped/2000267127-edc-02.jpg?v=2019.3.14_23.46.32,2016,original
2150,BMW,3 SERIES,320i XDrive,sedan,33600,1810,cdnblob.carvana.io/2000270246/post-large/normalized/cropped/2000270246-edc-02.jpg?v=2019.3.20_15.39.51,2018,original
2151,AUDI,A6,2.0T Premium,sedan,26700,28371,cdnblob.carvana.io/2000269343/post-large/normalized/cropped/2000269343-edc-02.jpg?v=2019.4.9_16.30.15,2016,original
2152,KIA,OPTIMA,LX,sedan,14000,35743,cdnblob.carvana.io/2000270149/post-large/normalized/cropped/2000270149-edc-02.jpg?v=2019.3.22_12.42.45,2016,original
2153,CHEVROLET,CRUZE,LT,sedan,14200,29728,cdnblob.carvana.io/2000268778/post-large/normalized/cropped/2000268778-edc-02.jpg?v=2019.3.15_4.1.30,2017,original
2154,CHEVROLET,IMPALA,LT,sedan,18500,34632,cdnblob.carvana.io/2000267705/post-large/normalized/cropped/2000267705-edc-02.jpg?v=2019.3.19_15.41.24,2018,original
2155,KIA,CADENZA,Premium,sedan,27700,1935,cdnblob.carvana.io/2000263484/post-large/normalized/cropped/2000263484-edc-02.jpg?v=2019.3.15_21.23.14,2018,original
2156,HONDA,ACCORD,LX,sedan,17400,21749,cdnblob.carvana.io/2000270032/post-large/normalized/cropped/2000270032-edc-02.jpg?v=2019.3.23_15.25.38,2016,original
2157,FORD,FUSION,Titanium,sedan,19700,21326,cdnblob.carvana.io/2000269706/post-large/normalized/cropped/2000269706-edc-02.jpg?v=2019.3.18_13.34.50,2017,original
2158,KIA,FORTE,S,sedan,18000,7712,cdnblob.carvana.io/2000270086/post-large/normalized/cropped/2000270086-edc-02.jpg?v=2019.3.18_13.20.51,2017,original
2159,HYUNDAI,ELANTRA,SE,sedan,12800,32835,cdnblob.carvana.io/2000270162/post-large/normalized/cropped/2000270162-edc-02.jpg?v=2019.3.25_18.48.56,2016,original
2160,BMW,3 SERIES,320i,sedan,30200,5463,cdnblob.carvana.io/2000246769/post-large/normalized/cropped/2000246769-edc-02.jpg?v=2019.3.14_19.5.39,2018,original
2161,HONDA,ACCORD,LX,sedan,16300,41261,cdnblob.carvana.io/2000267679/post-large/normalized/cropped/2000267679-edc-02.jpg?v=2019.3.18_22.24.25,2016,original
2162,KIA,OPTIMA,LX,sedan,17900,11391,cdnblob.carvana.io/2000268247/post-large/normalized/cropped/2000268247-edc-02.jpg?v=2019.3.14_10.58.13,2018,original
2163,HYUNDAI,ELANTRA,SE,sedan,12700,29691,cdnblob.carvana.io/2000270220/post-large/normalized/cropped/2000270220-edc-02.jpg?v=2019.4.3_22.57.59,2016,original
2164,TOYOTA,CAMRY,LE,sedan,18300,20028,cdnblob.carvana.io/2000267773/post-large/normalized/cropped/2000267773-edc-02.jpg?v=2019.3.22_18.37.2,2018,original
2165,KIA,OPTIMA,LX,sedan,16900,17061,cdnblob.carvana.io/2000270578/post-large/normalized/cropped/2000270578-edc-02.jpg?v=2019.3.15_23.35.44,2018,original
2166,HYUNDAI,SONATA,Limited,sedan,18500,13717,cdnblob.carvana.io/2000270168/post-large/normalized/cropped/2000270168-edc-02.jpg?v=2019.3.21_19.0.13,2016,original
2167,HONDA,ACCORD,LX,sedan,17500,26100,cdnblob.carvana.io/2000268834/post-large/normalized/cropped/2000268834-edc-02.jpg?v=2019.4.8_22.9.30,2016,original
2168,HONDA,ACCORD,LX,sedan,16400,37576,cdnblob.carvana.io/2000266379/post-large/normalized/cropped/2000266379-edc-02.jpg?v=2019.4.2_18.36.37,2016,original
2169,KIA,OPTIMA,Limited,sedan,22600,15908,cdnblob.carvana.io/2000265625/post-large/normalized/cropped/2000265625-edc-02.jpg?v=2019.3.18_15.10.45,2016,original
2170,NISSAN,VERSA,S,sedan,13000,2337,cdnblob.carvana.io/2000269168/post-large/normalized/cropped/2000269168-edc-02.jpg?v=2019.3.13_22.48.23,2018,original
2171,KIA,OPTIMA,LX,sedan,15700,20897,cdnblob.carvana.io/2000270148/post-large/normalized/cropped/2000270148-edc-02.jpg?v=2019.4.5_17.52.48,2017,original
2172,FORD,FIESTA,SE,sedan,10900,44902,cdnblob.carvana.io/2000269901/post-large/2000269901-edc-02-search.jpg?v=2019.3.20_2.54.46,2017,original
2173,CADILLAC,ATS,ATS,sedan,24800,12728,cdnblob.carvana.io/2000269266/post-large/normalized/cropped/2000269266-edc-02.jpg?v=2019.3.15_18.51.37,2018,original
2174,TOYOTA,CAMRY,LE,sedan,17900,10613,cdnblob.carvana.io/2000271174/post-large/normalized/cropped/2000271174-edc-02.jpg?v=2019.4.5_6.32.6,2017,original
2175,HYUNDAI,ACCENT,SE,sedan,12300,26527,cdnblob.carvana.io/2000262096/post-large/normalized/cropped/2000262096-edc-02.jpg?v=2019.4.9_18.46.0,2017,original
2176,KIA,OPTIMA,EX,sedan,16400,35900,cdnblob.carvana.io/2000268248/post-large/normalized/cropped/2000268248-edc-02.jpg?v=2019.3.28_0.35.21,2016,original
2177,TOYOTA,CAMRY,LE,sedan,19200,17515,cdnblob.carvana.io/2000264616/post-large/normalized/cropped/2000264616-edc-02.jpg?v=2019.3.21_12.42.22,2018,original
2178,KIA,FORTE,LX,sedan,12600,24399,cdnblob.carvana.io/2000269353/post-large/normalized/cropped/2000269353-edc-02.jpg?v=2019.3.15_19.31.55,2016,original
2179,KIA,OPTIMA,LX,sedan,16800,14823,cdnblob.carvana.io/2000263715/post-large/normalized/cropped/2000263715-edc-02.jpg?v=2019.3.21_12.43.6,2018,original
2180,KIA,OPTIMA,LX,sedan,17300,10480,cdnblob.carvana.io/2000269046/post-large/normalized/cropped/2000269046-edc-02.jpg?v=2019.3.13_12.47.10,2018,original
2181,HYUNDAI,ACCENT,SE,sedan,14200,12989,cdnblob.carvana.io/2000266714/post-large/normalized/cropped/2000266714-edc-02.jpg?v=2019.3.18_18.55.24,2018,original
2182,FORD,FUSION,SE,sedan,13700,41468,cdnblob.carvana.io/2000266666/post-large/normalized/cropped/2000266666-edc-02.jpg?v=2019.3.22_18.40.18,2017,original
2183,CADILLAC,XTS,Premium Collection,sedan,26500,46578,cdnblob.carvana.io/2000268870/post-large/normalized/cropped/2000268870-edc-02.jpg?v=2019.3.14_18.6.16,2016,original
2184,TOYOTA,CAMRY,LE,sedan,15600,36161,cdnblob.carvana.io/2000266128/post-large/normalized/cropped/2000266128-edc-02.jpg?v=2019.3.15_11.30.12,2017,original
2185,VOLKSWAGEN,PASSAT,2.0T SE,sedan,19800,13132,cdnblob.carvana.io/2000265768/post-large/normalized/cropped/2000265768-edc-02.jpg?v=2019.3.20_11.14.58,2018,original
2186,KIA,OPTIMA,LX,sedan,16800,14419,cdnblob.carvana.io/2000263859/post-large/normalized/cropped/2000263859-edc-02.jpg?v=2019.3.29_12.40.16,2018,original
2187,LEXUS,ES,ES 350,sedan,33100,4269,cdnblob.carvana.io/2000260394/post-large/normalized/cropped/2000260394-edc-02.jpg?v=2019.3.12_3.36.56,2017,original
2188,NISSAN,VERSA,SV,sedan,12300,16005,cdnblob.carvana.io/2000266752/post-large/normalized/cropped/2000266752-edc-02.jpg?v=2019.3.18_21.24.35,2018,original
2189,NISSAN,ALTIMA,2.5 S (2017.5),sedan,14100,41933,cdnblob.carvana.io/2000267356/post-large/normalized/cropped/2000267356-edc-02.jpg?v=2019.4.2_23.38.34,2017,original
2190,INFINITI,Q50,3.0t SPORT,sedan,37900,2951,cdnblob.carvana.io/2000263641/post-large/normalized/cropped/2000263641-edc-02.jpg?v=2019.3.15_19.20.7,2018,original
2191,CADILLAC,XTS,Luxury,sedan,29400,16282,cdnblob.carvana.io/2000264025/post-large/normalized/cropped/2000264025-edc-02.jpg?v=2019.3.18_15.35.19,2018,original
2192,CADILLAC,ATS,2.0L Turbo Luxury,sedan,20200,32824,cdnblob.carvana.io/2000260878/post-large/normalized/cropped/2000260878-edc-02.jpg?v=2019.3.22_12.35.57,2016,original
2193,AUDI,A3,1.8T Premium,sedan,21700,8841,cdnblob.carvana.io/2000263771/post-large/normalized/cropped/2000263771-edc-02.jpg?v=2019.4.12_8.12.22,2016,original
2194,HONDA,ACCORD,EX,sedan,16800,38001,cdnblob.carvana.io/2000266388/post-large/normalized/cropped/2000266388-edc-02.jpg?v=2019.4.4_4.35.34,2015,original
2195,KIA,FORTE,LX,sedan,12900,16449,cdnblob.carvana.io/2000264652/post-large/normalized/cropped/2000264652-edc-02.jpg?v=2019.3.28_4.58.14,2016,original
2196,CHEVROLET,CRUZE,LS,sedan,14400,16850,cdnblob.carvana.io/2000269272/post-large/normalized/cropped/2000269272-edc-02.jpg?v=2019.3.28_0.56.56,2018,original
2197,NISSAN,SENTRA,SR,sedan,13300,39641,cdnblob.carvana.io/2000266729/post-large/normalized/cropped/2000266729-edc-02.jpg?v=2019.3.19_15.28.31,2017,original
2198,KIA,FORTE,LX,sedan,13400,7880,cdnblob.carvana.io/2000264471/post-large/normalized/cropped/2000264471-edc-02.jpg?v=2019.3.19_15.26.52,2016,original
2199,CHEVROLET,MALIBU,Premier,sedan,20200,21821,cdnblob.carvana.io/2000259983/post-large/normalized/cropped/2000259983-edc-02.jpg?v=2019.3.14_18.1.15,2016,original
2200,TOYOTA,CAMRY,LE,sedan,18500,7398,cdnblob.carvana.io/2000258856/post-large/normalized/cropped/2000258856-edc-02.jpg?v=2019.3.21_22.18.8,2017,original
2201,HONDA,CIVIC,EX-L,sedan,20000,29115,cdnblob.carvana.io/2000269206/post-large/normalized/cropped/2000269206-edc-02.jpg?v=2019.3.14_14.46.9,2017,original
2202,CHEVROLET,CRUZE,LT,sedan,14800,21457,cdnblob.carvana.io/2000265066/post-large/normalized/cropped/2000265066-edc-02.jpg?v=2019.3.15_21.13.46,2017,original
2203,BMW,3 SERIES,330e IPerformance,sedan,30900,13731,cdnblob.carvana.io/2000269413/post-large/normalized/cropped/2000269413-edc-02.jpg?v=2019.3.20_19.19.36,2017,original
2204,TOYOTA,CAMRY,LE,sedan,15700,34506,cdnblob.carvana.io/2000266109/post-large/normalized/cropped/2000266109-edc-02.jpg?v=2019.3.26_12.20.42,2017,original
2205,TOYOTA,CAMRY,LE,sedan,15600,35507,cdnblob.carvana.io/2000265852/post-large/normalized/cropped/2000265852-edc-02.jpg?v=2019.3.20_11.44.25,2017,original
2206,ACURA,TLX,2.4,sedan,18900,28791,cdnblob.carvana.io/2000266216/post-large/normalized/cropped/2000266216-edc-02.jpg?v=2019.3.12_12.43.23,2015,original
2207,VOLKSWAGEN,JETTA,1.4T S,sedan,14200,13140,cdnblob.carvana.io/2000262819/post-large/normalized/cropped/2000262819-edc-02.jpg?v=2019.3.8_18.34.47,2017,original
2208,DODGE,CHARGER,SXT,sedan,20600,29300,cdnblob.carvana.io/2000268140/post-large/normalized/cropped/2000268140-edc-02.jpg?v=2019.3.22_15.7.49,2017,original
2209,INFINITI,Q70,L 3.7,sedan,30300,30969,cdnblob.carvana.io/2000264062/post-large/normalized/cropped/2000264062-edc-02.jpg?v=2019.4.10_4.41.57,2016,original
2210,NISSAN,VERSA,SV,sedan,11100,45892,cdnblob.carvana.io/2000265137/post-large/normalized/cropped/2000265137-edc-02.jpg?v=2019.4.4_19.2.6,2017,original
2211,HONDA,CIVIC,LX,sedan,13400,47842,cdnblob.carvana.io/2000263834/post-large/normalized/cropped/2000263834-edc-02.jpg?v=2019.4.12_20.12.13,2015,original
2212,HONDA,CIVIC,Touring,sedan,23700,9176,cdnblob.carvana.io/2000259817/post-large/normalized/cropped/2000259817-edc-02.jpg?v=2019.3.16_12.36.41,2017,original
2213,HONDA,CIVIC,Touring,sedan,24800,15129,cdnblob.carvana.io/2000259853/post-large/normalized/cropped/2000259853-edc-02.jpg?v=2019.3.15_14.14.41,2018,original
2214,HYUNDAI,AZERA,Limited,sedan,27400,5573,cdnblob.carvana.io/2000264326/post-large/normalized/cropped/2000264326-edc-02.jpg?v=2019.3.8_0.6.21,2017,original
2215,HYUNDAI,ELANTRA,SE,sedan,12300,43749,cdnblob.carvana.io/2000263896/post-large/normalized/cropped/2000263896-edc-02.jpg?v=2019.3.18_17.59.0,2017,original
2216,KIA,OPTIMA,LX,sedan,16500,12381,cdnblob.carvana.io/2000263675/post-large/normalized/cropped/2000263675-edc-02.jpg?v=2019.3.13_15.11.24,2018,original
2217,CADILLAC,ATS,2.0L Turbo Luxury,sedan,18300,49540,cdnblob.carvana.io/2000260993/post-large/normalized/cropped/2000260993-edc-02.jpg?v=2019.4.12_13.17.8,2015,original
2218,AUDI,A4,Premium,sedan,22000,25082,cdnblob.carvana.io/2000267112/post-large/normalized/cropped/2000267112-edc-02.jpg?v=2019.3.20_19.20.45,2015,original
2219,KIA,OPTIMA,LX,sedan,16900,11286,cdnblob.carvana.io/2000267068/post-large/normalized/cropped/2000267068-edc-02.jpg?v=2019.3.13_17.46.25,2018,original
2220,TOYOTA,CAMRY,LE,sedan,15400,43927,cdnblob.carvana.io/2000266804/post-large/normalized/cropped/2000266804-edc-02.jpg?v=2019.4.8_22.6.29,2017,original
2221,TESLA,MODEL 3,Model 3,sedan,48500,2238,cdnblob.carvana.io/2000264821/post-large/normalized/cropped/2000264821-edc-02.jpg?v=2019.3.8_12.46.36,2018,original
2222,MERCEDES-BENZ,C-CLASS,C 300 4MATIC,sedan,23900,37535,cdnblob.carvana.io/2000263876/post-large/normalized/cropped/2000263876-edc-02.jpg?v=2019.3.8_12.58.3,2016,original
2223,TOYOTA,CAMRY,LE,sedan,14800,50937,cdnblob.carvana.io/2000265535/post-large/normalized/cropped/2000265535-edc-02.jpg?v=2019.3.12_15.53.45,2017,original
2224,LEXUS,IS,IS 350,sedan,29400,14842,cdnblob.carvana.io/2000254582/post-large/normalized/cropped/2000254582-edc-02.jpg?v=2019.3.12_22.17.46,2016,original
2225,HYUNDAI,SONATA,Sport,sedan,18000,18361,cdnblob.carvana.io/2000256300/post-large/normalized/cropped/2000256300-edc-02.jpg?v=2019.4.11_19.59.11,2018,original
2226,KIA,OPTIMA,LX Turbo,sedan,15200,25671,cdnblob.carvana.io/2000263988/post-large/normalized/cropped/2000263988-edc-02.jpg?v=2019.3.28_19.14.7,2016,original
2227,NISSAN,SENTRA,S,sedan,15300,1887,cdnblob.carvana.io/2000265543/post-large/normalized/cropped/2000265543-edc-02.jpg?v=2019.4.5_13.2.35,2018,original
2228,HYUNDAI,SONATA,SEL,sedan,18400,15278,cdnblob.carvana.io/2000256296/post-large/normalized/cropped/2000256296-edc-02.jpg?v=2019.3.15_14.26.54,2018,original
2229,HONDA,CIVIC,EX-T,sedan,17900,39607,cdnblob.carvana.io/2000259822/post-large/normalized/cropped/2000259822-edc-02.jpg?v=2019.4.1_14.8.35,2016,original
2230,NISSAN,ALTIMA,2.5 S,sedan,13800,44066,cdnblob.carvana.io/2000266071/post-large/normalized/cropped/2000266071-edc-02.jpg?v=2019.4.8_12.34.37,2016,original
2231,KIA,RIO,LX,sedan,12400,6808,cdnblob.carvana.io/2000267882/post-large/normalized/cropped/2000267882-edc-02.jpg?v=2019.4.12_15.9.33,2017,original
2232,FORD,FUSION,Titanium Hybrid,sedan,16900,47524,cdnblob.carvana.io/2000266062/post-large/normalized/cropped/2000266062-edc-02.jpg?v=2019.3.14_18.6.42,2016,original
2233,VOLKSWAGEN,PASSAT,TDI SEL Premium,sedan,16300,39329,cdnblob.carvana.io/2000265899/post-large/normalized/cropped/2000265899-edc-02.jpg?v=2019.3.22_13.0.36,2015,original
2234,CADILLAC,CT6,3.0 Twin Turbo Luxury,sedan,37600,44110,cdnblob.carvana.io/2000265491/post-large/normalized/cropped/2000265491-edc-02.jpg?v=2019.3.14_11.43.57,2016,original
2235,CHRYSLER,300,300S Alloy Edition,sedan,23100,10490,cdnblob.carvana.io/2000267675/post-large/normalized/cropped/2000267675-edc-02.jpg?v=2019.3.8_4.56.50,2017,original
2236,NISSAN,ALTIMA,2.5 S,sedan,15200,20956,cdnblob.carvana.io/2000265881/post-large/normalized/cropped/2000265881-edc-02.jpg?v=2019.3.18_12.49.45,2016,original
2237,MERCEDES-BENZ,C-CLASS,C 300 4MATIC,sedan,26600,15445,cdnblob.carvana.io/2000263580/post-large/normalized/cropped/2000263580-edc-02.jpg?v=2019.3.21_14.41.30,2016,original
2238,CADILLAC,XTS,Platinum Collection,sedan,32000,48164,cdnblob.carvana.io/2000265691/post-large/normalized/cropped/2000265691-edc-02.jpg?v=2019.4.10_20.0.11,2016,original
2239,AUDI,A3,1.8T Premium,sedan,21100,14788,cdnblob.carvana.io/2000267110/post-large/normalized/cropped/2000267110-edc-02.jpg?v=2019.4.3_1.39.15,2016,original
2240,INFINITI,Q50,3.0t SPORT,sedan,34500,8345,cdnblob.carvana.io/2000266992/post-large/normalized/cropped/2000266992-edc-02.jpg?v=2019.3.8_5.55.5,2018,original
2241,KIA,FORTE,LX,sedan,13700,11685,cdnblob.carvana.io/2000265555/post-large/normalized/cropped/2000265555-edc-02.jpg?v=2019.3.11_11.39.18,2017,original
2242,CADILLAC,CTS,2.0 Luxury Collection,sedan,27000,18353,cdnblob.carvana.io/2000264219/post-large/normalized/cropped/2000264219-edc-02.jpg?v=2019.3.8_12.35.5,2016,original
2243,CHEVROLET,CRUZE,LS,sedan,16000,5136,cdnblob.carvana.io/2000250016/post-large/normalized/cropped/2000250016-edc-02.jpg?v=2019.3.14_23.45.25,2018,original
2244,FORD,FUSION,Titanium,sedan,19300,18842,cdnblob.carvana.io/2000261275/post-large/normalized/cropped/2000261275-edc-02.jpg?v=2019.3.12_1.8.25,2017,original
2245,KIA,OPTIMA,EX,sedan,15400,56133,cdnblob.carvana.io/2000266924/post-large/normalized/cropped/2000266924-edc-02.jpg?v=2019.4.3_7.19.56,2016,original
2246,FORD,FUSION,SE,sedan,16500,24837,cdnblob.carvana.io/2000266063/post-large/normalized/cropped/2000266063-edc-02.jpg?v=2019.3.13_12.45.45,2018,original
2247,AUDI,A3,2.0T Premium,sedan,21000,26073,cdnblob.carvana.io/2000263441/post-large/normalized/cropped/2000263441-edc-02.jpg?v=2019.4.2_19.22.21,2015,original
2248,HONDA,ACCORD,LX,sedan,16400,29080,cdnblob.carvana.io/2000262097/post-large/normalized/cropped/2000262097-edc-02.jpg?v=2019.3.23_11.48.1,2016,original
2249,HONDA,ACCORD,LX,sedan,16300,44489,cdnblob.carvana.io/2000262056/post-large/normalized/cropped/2000262056-edc-02.jpg?v=2019.4.10_19.57.19,2016,original
2250,HYUNDAI,ACCENT,SE,sedan,11300,39290,cdnblob.carvana.io/2000263353/post-large/normalized/cropped/2000263353-edc-02.jpg?v=2019.3.28_9.23.26,2017,original
2251,HONDA,CIVIC,LX,sedan,15500,35521,cdnblob.carvana.io/2000267804/post-large/normalized/cropped/2000267804-edc-02.jpg?v=2019.3.9_0.44.16,2016,original
2252,LEXUS,IS,IS 300,sedan,31000,11214,cdnblob.carvana.io/2000265984/post-large/normalized/cropped/2000265984-edc-02.jpg?v=2019.3.7_18.36.22,2018,original
2253,HYUNDAI,ACCENT,SE,sedan,13200,12296,cdnblob.carvana.io/2000265778/post-large/normalized/cropped/2000265778-edc-02.jpg?v=2019.3.12_14.21.36,2017,original
2254,HYUNDAI,ELANTRA,SE,sedan,11900,46935,cdnblob.carvana.io/2000262879/post-large/normalized/cropped/2000262879-edc-02.jpg?v=2019.3.8_18.34.30,2016,original
2255,CHEVROLET,MALIBU,LS,sedan,16800,12390,cdnblob.carvana.io/2000259273/post-large/normalized/cropped/2000259273-edc-02.jpg?v=2019.3.12_23.26.4,2017,original
2256,CHEVROLET,CRUZE,LT,sedan,14000,20127,cdnblob.carvana.io/2000263421/post-large/normalized/cropped/2000263421-edc-02.jpg?v=2019.3.5_22.51.28,2017,original
2257,TOYOTA,COROLLA,L,sedan,14800,19658,cdnblob.carvana.io/2000265510/post-large/normalized/cropped/2000265510-edc-02.jpg?v=2019.3.11_18.36.51,2016,original
2258,HONDA,CIVIC,EX,sedan,18800,17324,cdnblob.carvana.io/2000264633/post-large/normalized/cropped/2000264633-edc-02.jpg?v=2019.3.7_1.59.27,2016,original
2259,MERCEDES-BENZ,C-CLASS,C 300,sedan,23300,36570,cdnblob.carvana.io/2000261874/post-large/normalized/cropped/2000261874-edc-02.jpg?v=2019.3.18_13.16.5,2015,original
2260,VOLKSWAGEN,PASSAT,V6 SEL Premium,sedan,24500,10011,cdnblob.carvana.io/2000260908/post-large/normalized/cropped/2000260908-edc-02.jpg?v=2019.3.14_8.38.13,2018,original
2261,MAZDA,MAZDA3,I Touring,sedan,15400,24587,cdnblob.carvana.io/2000263687/post-large/normalized/cropped/2000263687-edc-02.jpg?v=2019.3.29_14.4.44,2015,original
2262,KIA,CADENZA,Premium,sedan,17700,33920,cdnblob.carvana.io/2000259179/post-large/normalized/cropped/2000259179-edc-02.jpg?v=2019.4.1_19.7.8,2015,original
2263,KIA,OPTIMA,EX,sedan,17800,18177,cdnblob.carvana.io/2000263944/post-large/normalized/cropped/2000263944-edc-02.jpg?v=2019.3.14_9.25.23,2016,original
2264,HYUNDAI,ELANTRA,SE,sedan,15800,4443,cdnblob.carvana.io/2000265482/post-large/normalized/cropped/2000265482-edc-02.jpg?v=2019.3.8_13.2.51,2018,original
2265,NISSAN,SENTRA,SR,sedan,13900,16097,cdnblob.carvana.io/2000263822/post-large/normalized/cropped/2000263822-edc-02.jpg?v=2019.3.14_19.3.46,2015,original
2266,KIA,OPTIMA,EX,sedan,15900,43530,cdnblob.carvana.io/2000261990/post-large/normalized/cropped/2000261990-edc-02.jpg?v=2019.3.28_0.37.49,2016,original
2267,MERCEDES-BENZ,CLA,CLA 250,sedan,31400,4485,cdnblob.carvana.io/2000256245/post-large/normalized/cropped/2000256245-edc-02.jpg?v=2019.3.12_14.40.58,2018,original
2268,NISSAN,SENTRA,SV,sedan,12500,24084,cdnblob.carvana.io/2000263918/post-large/normalized/cropped/2000263918-edc-02.jpg?v=2019.3.13_12.42.23,2015,original
2269,CHEVROLET,CRUZE,LS,sedan,15000,10260,cdnblob.carvana.io/2000261082/post-large/normalized/cropped/2000261082-edc-02.jpg?v=2019.3.26_19.56.31,2018,original
2270,TOYOTA,COROLLA,LE,sedan,13800,27388,cdnblob.carvana.io/2000261072/post-large/normalized/cropped/2000261072-edc-02.jpg?v=2019.3.12_6.12.46,2016,original
2271,HYUNDAI,SONATA,Limited,sedan,17300,30025,cdnblob.carvana.io/2000263778/post-large/normalized/cropped/2000263778-edc-02.jpg?v=2019.3.28_1.2.25,2016,original
2272,KIA,OPTIMA,LX,sedan,18700,3142,cdnblob.carvana.io/2000262780/post-large/normalized/cropped/2000262780-edc-02.jpg?v=2019.3.8_4.55.7,2018,original
2273,HYUNDAI,ELANTRA,SE,sedan,12700,55871,cdnblob.carvana.io/2000259641/post-large/normalized/cropped/2000259641-edc-02.jpg?v=2019.4.12_3.56.43,2016,original
2274,FORD,FOCUS,Titanium,sedan,16400,19712,cdnblob.carvana.io/2000261336/post-large/normalized/cropped/2000261336-edc-02.jpg?v=2019.3.8_6.29.56,2018,original
2275,KIA,K900,Premium,sedan,23900,28988,cdnblob.carvana.io/2000259307/post-large/normalized/cropped/2000259307-edc-02.jpg?v=2019.3.6_22.47.21,2016,original
2276,HYUNDAI,GENESIS,3.8,sedan,19900,49276,cdnblob.carvana.io/2000263524/post-large/normalized/cropped/2000263524-edc-02.jpg?v=2019.4.5_12.56.57,2015,original
2277,HYUNDAI,ELANTRA,SE,sedan,14500,18768,cdnblob.carvana.io/2000260369/post-large/normalized/cropped/2000260369-edc-02.jpg?v=2019.3.26_9.28.9,2016,original
2278,FORD,FUSION,Titanium Hybrid,sedan,17300,47447,cdnblob.carvana.io/2000251960/post-large/normalized/cropped/2000251960-edc-02.jpg?v=2019.3.4_18.47.25,2017,original
2279,HONDA,CIVIC,EX,sedan,21000,9424,cdnblob.carvana.io/2000250002/post-large/normalized/cropped/2000250002-edc-02.jpg?v=2019.3.2_21.50.37,2018,original
2280,BMW,3 SERIES,335i XDrive,sedan,25200,48250,cdnblob.carvana.io/2000263003/post-large/normalized/cropped/2000263003-edc-02.jpg?v=2019.3.28_15.10.21,2015,original
2281,VOLKSWAGEN,PASSAT,1.8T S,sedan,12500,41046,cdnblob.carvana.io/2000259950/post-large/normalized/cropped/2000259950-edc-02.jpg?v=2019.3.29_1.45.35,2015,original
